"Team","Player","Event","X","Y","xend","yend"
"Indonesia","Walian","Shot Assist",79,82,"79","72"
"Indonesia","Evan","Goal Assist",100,1,"98","43"
"Indonesia","Irfan","Shot Assist",93,13,"90","38"
"Indonesia","Arhan","Goal Assist",49,35,"89","67"
"Indonesia","Arhan","Shot Assist",79,32,"82","61"
"Indonesia","Arhan","Goal Assist",100,100,"98","59"
"Indonesia","Asnawi","Shot Assist",79,90,"91","54"
"Indonesia","Asnawi","Shot Assist",84,73,"82","53"
"Indonesia","Evan","Shot Assist",98,69,"93","59"
"Indonesia","Kambuaya","Goal Assist",80,52,"89","27"
"Indonesia","Walian","Shot Assist",88,45,"79","52"
"Indonesia","Asnawi","Shot Assist",69,77,"89","57"
"Indonesia","Edo","Shot Assist",98,25,"91","44"
"Indonesia","Kambuaya","Shot Assist",80,57,"77","46"
"Indonesia","Evan","Shot Assist",67,19,"69","51"
"Indonesia","Edo","Shot Assist",100,99,"74","77"
"Indonesia","Asnawi","Shot Assist",64,76,"68","53"
"Indonesia","Dedik","Goal Assist",97,60,"98","49"
"Indonesia","Asnawi","Shot Assist",76,87,"92","49"
"Indonesia","Kambuaya","Shot Assist",81,83,"95","51"
"Indonesia","Evan","Shot Assist",68,28,"67","56"
"Indonesia","Irfan","Goal Assist",92,26,"86","38"
"Indonesia","Asnawi","Shot Assist",90,69,"73","57"
"Indonesia","Dewangga","Shot Assist",50,8,"57","8"
"Indonesia","Ridho","Shot Assist",97,69,"78","62"
"Indonesia","Dedik","Shot Assist",72,35,"88","33"
"Indonesia","Evan","Shot Assist",100,0,"97","47"
"Indonesia","Dewangga","Goal Assist",68,34,"94","58"
"Indonesia","Witan","Goal Assist",97,80,"93","57"
"Indonesia","Witan","Shot Assist",76,62,"91","67"
"Indonesia","Witan","Shot Assist",99,99,"96","60"
"Indonesia","Kambuaya","Shot Assist",89,81,"78","56"
"Indonesia","Asnawi","Shot Assist",72,89,"82","43"
"Indonesia","Rumakiek","Shot Assist",67,26,"62","34"
"Indonesia","Irfan","Shot Assist",99,0,"96","35"
"Indonesia","Irianto","Shot Assist",72,77,"81","71"
"Indonesia","Irfan","Shot Assist",94,14,"93","50"
"Indonesia","Irianto","Shot Assist",74,47,"77","67"
"Indonesia","Arhan","Shot Assist",76,99,"91","57"
"Indonesia","Witan","Goal Assist",94,64,"92","48"
"Indonesia","Irianto","Shot Assist",72,54,"73","43"
"Indonesia","Arhan","Shot Assist",100,99,"97","34"
"Indonesia","Irianto","Shot Assist",59,25,"71","33"
"Indonesia","Irfan","Goal Assist",90,11,"81","32"
"Indonesia","Arhan","Shot Assist",66,37,"80","24"
"Indonesia","Irfan","Shot Assist",90,21,"89","49"
"Indonesia","Evan","Goal Assist",99,2,"97","50"
"Indonesia","Witan","Shot Assist",73,26,"89","63"
"Indonesia","Irfan","Shot Assist",99,1,"96","38"
"Indonesia","Asnawi","Shot Assist",66,73,"83","65"
"Indonesia","Asnawi","Goal Assist",92,72,"89","60"
"Indonesia","Arhan","Shot Assist",78,23,"87","37"
"Indonesia","Irianto","Shot Assist",90,15,"96","35"
"Indonesia","Walian","Shot Assist",86,39,"88","35"
"Indonesia","Arhan","Shot Assist",86,1,"97","44"
"Indonesia","Witan","Shot Assist",81,65,"89","66"
"Indonesia","Dewangga","Shot Assist",77,71,"78","39"
"Indonesia","Witan","Shot Assist",98,33,"87","50"
"Indonesia","Witan","Goal Assist",96,64,"95","54"
"Indonesia","Asnawi","Shot Assist",97,90,"90","68"
"Indonesia","Arhan","Shot Assist",81,0,"75","43"
"Indonesia","Witan","Shot Assist",87,63,"82","61"
"Indonesia","Kambuaya","Shot Assist",83,48,"86","32"
"Indonesia","Kambuaya","Shot Assist",97,51,"89","47"
"Indonesia","Arhan","Shot Assist",97,11,"93","39"
"Indonesia","Witan","Shot Assist",75,40,"72","52"
"Indonesia","Arhan","Shot Assist",89,66,"87","59"
"Indonesia","Sagara","Shot Assist",94,49,"89","49"
"Indonesia","Asnawi","Shot Assist",65,69,"87","24"
"Indonesia","Asnawi","Shot Assist",74,83,"78","73"
"Indonesia","Evan","Shot Assist",94,73,"93","42"
"Indonesia","Witan","Shot Assist",86,34,"93","30"
"Indonesia","Baggott","Shot Assist",53,32,"82","25"
"Indonesia","Egy","Shot Assist",86,32,"83","41"
"Indonesia","Egy","Shot Assist",77,71,"89","72"
"Indonesia","Kambuaya","Shot Assist",82,68,"81","59"
"Indonesia","Witan","Shot Assist",87,17,"92","61"
"Indonesia","Kambuaya","Shot Assist",76,54,"91","39"
"Indonesia","Asnawi","Shot Assist",65,77,"90","72"
"Indonesia","Witan","Goal Assist",87,33,"81","36"
"Indonesia","Dedik","Shot Assist",94,36,"93","50"
"Indonesia","Arhan","Shot Assist",83,20,"94","42"
"Indonesia","Arhan","Shot Assist",78,4,"90","37"
"Indonesia","Witan","Goal Assist",64,14,"82","25"
