"Team","Player","Event","Mins","Secs","X","Y","xend","yend","left.flank","centre","right.flank"
"Indonesia","Kambuaya","Goal Assist",0,0,80,52,"89","27","No","Yes","No"
"Indonesia","Kambuaya","Shot Assist",0,0,80,57,"77","46","No","Yes","No"
"Indonesia","Dedik","Shot Assist",120,22,72,35,"88","33","No","Yes","No"
"Indonesia","Dewangga","Goal Assist",135,39,68,34,"94","58","No","Yes","No"
"Indonesia","Witan","Shot Assist",143,23,76,62,"91","67","No","Yes","No"
"Indonesia","Irianto","Shot Assist",33,28,74,47,"77","67","No","Yes","No"
"Indonesia","Irianto","Shot Assist",48,12,72,54,"73","43","No","Yes","No"
"Indonesia","Witan","Shot Assist",0,40,81,65,"89","66","No","Yes","No"
"Indonesia","Kambuaya","Shot Assist",57,16,83,48,"86","32","No","Yes","No"
"Indonesia","Witan","Shot Assist",85,21,75,40,"72","52","No","Yes","No"
"Indonesia","Kambuaya","Shot Assist",0,0,76,54,"91","39","No","Yes","No"
